vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
H3.6-8.5,outcome,H3.6-8.5,Analyze multiple causal factors to create positions on major events in United States history (1763-1877).,H3.6-8.5,highest,,active,H3,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
H4,group,H4: Understands how historical events inform analysis of contemporary issues and events.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H4.6-8.3,outcome,H4.6-8.3,Analyze how a historical event in United States history helps us to understand contemporary issues and events.,H4.6-8.3,highest,,active,H4,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
WA-SS-SKILLS,group,Social Studies Skills,,,,,active,,,,,,,,,,
SSS1,group,SSS1: Uses critical reasoning skills to analyze and evaluate claims.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS1.6-8.1,outcome,SSS1.6-8.1,Analyze positions and evidence supporting an issue or an event.,SSS1.6-8.1,highest,,active,SSS1,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
SSS1.6-8.2,outcome,SSS1.6-8.2,Evaluate the logic of reasons for a position on an issue or event.,SSS1.6-8.2,highest,,active,SSS1,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
SSS2,group,SSS2: Uses inquiry-based research.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS2.6-8.1,outcome,SSS2.6-8.1,Create and use research questions to guide inquiry on an issue or event.,SSS2.6-8.1,highest,,active,SSS2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
SSS2.6-8.2,outcome,SSS2.6-8.2,"Evaluate the breadth, reliability, and credibility of primary and secondary sources to determine the need for new or additional information when researching an issue or event.",SSS2.6-8.2,highest,,active,SSS2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
SSS3,group,SSS3: Deliberates public issues.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS3.6-8.1,outcome,SSS3.6-8.1,"Engage in discussion, analyzing multiple viewpoints on public issues.",SSS3.6-8.1,highest,,active,SSS3,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
SSS4,group,"SSS4: Creates a product that uses social studies content to support a thesis, and presents the product in an appropriate manner to a meaningful audience.",,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS4.6-8.1,outcome,SSS4.6-8.1,"Analyze multiple factors, make generalizations, and interpret sources to formulate a thesis in a paper or presentation, while observing rules related to plagiarism and copyright.",SSS4.6-8.1,highest,,active,SSS4,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
SSS4.6-8.2,outcome,SSS4.6-8.2,"Use appropriate format to cite sources within an essay, presentation, and reference page.",SSS4.6-8.2,highest,,active,SSS4,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
